n,prime,chi5,S_n,is_tie,gap_to_next_tie
4281,87833,-1,6,False,
4282,87869,1,7,False,
4283,87881,1,8,False,
4284,87887,-1,7,False,
4285,87911,1,8,False,
4286,87917,-1,7,False,
4287,87959,1,8,False,
4288,87977,-1,7,False,
4289,88001,1,8,False,
4290,88007,-1,7,False,
4291,88019,1,8,False,
4292,88037,-1,7,False,
4293,88079,1,8,False,
4294,88169,1,9,False,
4295,88211,1,10,False,
4296,88223,-1,9,False,
4297,88241,1,10,False,
4298,88259,1,11,False,
4299,88289,1,12,False,
4300,88301,1,13,False,
4301,88337,-1,12,False,
4302,88379,1,13,False,
4303,88397,-1,12,False,
4304,88427,-1,11,False,
4305,88463,-1,10,False,
4306,88469,1,11,False,
4307,88493,-1,10,False,
4308,88499,1,11,False,
4309,88523,-1,10,False,
4310,88547,-1,9,False,
4311,88589,1,10,False,
4312,88607,-1,9,False,
4313,88643,-1,8,False,
4314,88661,1,9,False,
4315,88667,-1,8,False,
4316,88721,1,9,False,
4317,88793,-1,8,False,
4318,88799,1,9,False,
4319,88811,1,10,False,
4320,88817,-1,9,False,
4321,88853,-1,8,False,
4322,88883,-1,7,False,
4323,88919,1,8,False,
4324,88937,-1,7,False,
4325,88997,-1,6,False,
4326,89003,-1,5,False,
4327,89009,1,6,False,
4328,89021,1,7,False,
4329,89051,1,8,False,
4330,89057,-1,7,False,
4331,89069,1,8,False,
4332,89087,-1,7,False,
4333,89123,-1,6,False,
4334,89153,-1,5,False,
4335,89189,1,6,False,
4336,89213,-1,5,False,
4337,89231,1,6,False,
4338,89237,-1,5,False,
4339,89261,1,6,False,
4340,89273,-1,5,False,
4341,89303,-1,4,False,
4342,89363,-1,3,False,
4343,89381,1,4,False,
4344,89387,-1,3,False,
4345,89393,-1,2,False,
4346,89399,1,3,False,
4347,89417,-1,2,False,
4348,89459,1,3,False,
4349,89477,-1,2,False,
4350,89501,1,3,False,
4351,89513,-1,2,False,
4352,89519,1,3,False,
4353,89561,1,4,False,
4354,89567,-1,3,False,
4355,89591,1,4,False,
4356,89597,-1,3,False,
4357,89603,-1,2,False,
4358,89627,-1,1,False,
4359,89633,-1,0,True,2
4360,89657,-1,-1,False,
4361,89669,1,0,True,2
4362,89681,1,1,False,
4363,89753,-1,0,True,2
4364,89759,1,1,False,
4365,89783,-1,0,True,12
4366,89819,1,1,False,
4367,89849,1,2,False,
4368,89867,-1,1,False,
4369,89891,1,2,False,
4370,89897,-1,1,False,
4371,89909,1,2,False,
4372,89939,1,3,False,
4373,89963,-1,2,False,
4374,90011,1,3,False,
4375,90017,-1,2,False,
4376,90023,-1,1,False,
4377,90053,-1,0,True,10
4378,90059,1,1,False,
4379,90071,1,2,False,
4380,90089,1,3,False,
4381,90107,-1,2,False,
4382,90149,1,3,False,
4383,90173,-1,2,False,
4384,90191,1,3,False,
4385,90197,-1,2,False,
4386,90203,-1,1,False,
4387,90227,-1,0,True,2
4388,90239,1,1,False,
4389,90263,-1,0,True,2
4390,90281,1,1,False,
4391,90353,-1,0,True,6
4392,90359,1,1,False,
4393,90371,1,2,False,
4394,90401,1,3,False,
4395,90407,-1,2,False,
4396,90437,-1,1,False,
4397,90473,-1,0,True,10
4398,90527,-1,-1,False,
4399,90533,-1,-2,False,
4400,90599,1,-1,False,
4401,90617,-1,-2,False,
4402,90641,1,-1,False,
4403,90647,-1,-2,False,
4404,90659,1,-1,False,
4405,90677,-1,-2,False,
4406,90731,1,-1,False,
4407,90749,1,0,True,2
4408,90803,-1,-1,False,
4409,90821,1,0,True,16
4410,90833,-1,-1,False,
4411,90863,-1,-2,False,
4412,90887,-1,-3,False,
4413,90911,1,-2,False,
4414,90917,-1,-3,False,
4415,90947,-1,-4,False,
4416,90971,1,-3,False,
4417,90977,-1,-4,False,
4418,90989,1,-3,False,
4419,91019,1,-2,False,
4420,91079,1,-1,False,
4421,91097,-1,-2,False,
4422,91121,1,-1,False,
4423,91127,-1,-2,False,
4424,91139,1,-1,False,
4425,91151,1,0,True,4
4426,91163,-1,-1,False,
4427,91193,-1,-2,False,
4428,91199,1,-1,False,
4429,91229,1,0,True,
4430,91253,-1,-1,False,
4431,91283,-1,-2,False,
4432,91331,1,-1,False,
4433,91367,-1,-2,False,
4434,91373,-1,-3,False,
4435,91397,-1,-4,False,
4436,91433,-1,-5,False,
4437,91457,-1,-6,False,
4438,91463,-1,-7,False,
4439,91493,-1,-8,False,
4440,91499,1,-7,False,
4441,91529,1,-6,False,
4442,91541,1,-5,False,
4443,91571,1,-4,False,
4444,91577,-1,-5,False,
4445,91583,-1,-6,False,
4446,91631,1,-5,False,
4447,91673,-1,-6,False,
4448,91691,1,-5,False,
4449,91703,-1,-6,False,
4450,91733,-1,-7,False,
4451,91757,-1,-8,False,
4452,91781,1,-7,False,
4453,91811,1,-6,False,
4454,91823,-1,-7,False,
4455,91841,1,-6,False,
4456,91943,-1,-7,False,
4457,91961,1,-6,False,
4458,91967,-1,-7,False,
4459,91997,-1,-8,False,
4460,92003,-1,-9,False,
4461,92009,1,-8,False,
4462,92033,-1,-9,False,
4463,92051,1,-8,False,
4464,92111,1,-7,False,
4465,92153,-1,-8,False,
4466,92177,-1,-9,False,
4467,92189,1,-8,False,
4468,92219,1,-7,False,
4469,92237,-1,-8,False,
4470,92243,-1,-9,False,
4471,92297,-1,-10,False,
4472,92333,-1,-11,False,
4473,92357,-1,-12,False,
4474,92363,-1,-13,False,
4475,92369,1,-12,False,
4476,92381,1,-11,False,
4477,92387,-1,-12,False,
4478,92399,1,-11,False,
