mu_-0.01,mu_-0.015,mu_-0.02,mu_-0.025,mu_-0.03
51,184,26,4,18
82,33,0,47,95
61,5,29,36,15
64,40,56,8,25
11,38,9,25,86
65,2,16,37,125
11,61,12,36,19
45,14,81,50,24
50,141,2,76,30
7,108,59,108,53
68,9,0,12,22
12,20,27,15,8
42,27,1,21,101
45,91,99,28,22
78,17,12,37,39
94,1,1,22,2
14,52,65,49,39
24,78,43,35,38
37,13,30,32,51
96,53,32,94,19
108,18,37,50,24
20,52,9,46,103
6,33,77,5,31
128,8,13,2,61
52,87,45,1,1
115,50,22,27,91
27,67,20,35,29
42,40,56,37,11
67,122,36,28,12
63,12,43,36,61
17,27,50,38,107
5,1,12,0,27
18,97,36,8,13
95,19,30,86,1
0,6,78,36,12
26,8,20,84,41
20,3,38,15,3
32,47,5,28,32
33,13,106,26,58
36,10,31,16,4
45,96,23,50,1
105,91,71,49,0
66,127,116,8,36
5,7,4,15,44
84,59,123,36,9
35,53,39,34,23
21,16,67,29,91
0,114,9,47,14
12,41,85,55,25
138,11,75,50,147
98,111,9,89,54
8,4,46,30,13
3,166,25,59,74
42,84,24,39,27
20,91,29,4,93
14,123,29,17,20
91,31,18,29,48
37,4,12,3,38
44,0,11,61,0
6,3,162,38,39
57,66,103,42,10
56,55,21,10,20
16,6,16,79,4
69,5,86,97,12
74,54,11,1,55
32,83,68,8,32
39,38,34,91,10
70,1,33,33,5
47,1,36,3,18
64,30,56,32,4
26,31,15,9,7
6,70,10,22,74
62,71,40,25,63
14,6,16,35,57
78,75,67,82,2
100,120,111,14,9
24,84,66,120,83
77,46,10,37,41
53,26,21,58,14
56,11,140,9,26
1,27,20,23,92
26,0,120,98,4
10,47,81,48,42
5,137,18,8,11
5,13,7,13,91
111,10,68,17,19
3,7,75,5,16
121,131,48,140,39
91,41,127,10,39
0,21,0,49,10
22,42,39,140,28
65,76,10,31,31
161,99,18,12,17
130,58,36,12,19
171,100,75,29,31
112,58,28,10,1
124,39,7,28,30
36,58,19,46,14
22,44,20,0,6
138,21,12,86,9
27,29,67,22,30
9,31,9,12,15
19,47,4,42,32
107,58,13,28,28
37,102,0,10,85
119,32,31,24,46
13,44,45,37,2
74,34,6,14,11
80,3,56,23,22
91,21,60,12,10
13,12,12,3,3
6,92,84,25,2
7,42,10,13,5
60,118,32,7,9
36,2,22,77,39
50,13,0,28,44
34,4,2,8,65
72,86,72,40,37
69,42,71,28,55
44,27,35,43,4
67,9,31,5,70
20,12,57,21,12
10,11,67,3,27
27,0,1,18,44
135,65,68,56,10
8,73,48,54,1
126,108,19,63,49
16,19,62,219,68
39,2,32,0,17
54,6,12,95,3
47,30,19,24,13
146,33,56,16,13
19,17,119,19,31
60,79,6,7,4
22,88,26,63,4
9,140,26,12,7
74,20,14,45,44
52,88,12,57,101
90,4,7,120,50
30,74,12,11,45
99,144,65,46,7
83,51,92,30,32
58,15,4,43,15
85,54,20,1,28
26,17,95,5,22
39,101,17,12,2
22,31,150,54,94
78,10,3,0,34
14,114,61,5,15
93,17,9,20,27
37,41,52,83,19
104,36,35,25,61
80,24,50,36,46
8,70,62,44,87
23,23,0,11,33
84,8,9,72,47
34,83,74,30,31
12,32,21,29,7
47,26,56,26,12
33,3,9,4,10
41,135,34,49,54
0,14,60,3,93
33,52,21,3,9
36,48,1,56,11
26,12,12,18,11
19,44,4,28,2
6,10,22,50,10
136,165,90,46,23
26,152,61,0,25
23,33,36,82,22
20,48,18,1,20
42,25,8,60,17
36,27,150,139,39
69,55,55,38,22
7,115,55,20,10
46,59,29,29,14
28,33,11,25,9
18,48,178,24,3
33,45,80,0,45
16,68,25,54,18
44,54,59,48,139
2,37,8,26,21
9,229,45,50,69
68,84,24,22,76
96,15,48,122,22
116,44,81,18,29
202,36,32,42,15
5,99,138,2,33
71,45,44,32,61
71,48,4,140,18
11,187,33,88,30
24,64,10,31,16
42,44,7,0,42
7,29,30,7,21
38,44,23,8,66
27,28,9,170,10
